Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date
" Dava's Everquest II - Pinball Tribute (Original 2023)",Original,2023,"Fantasy, Roleplaying",-,-,-,SS,VPX,"Davadruix, JPSalas",1.1.1,2023-11-20
"1-2-3 (Talleres del Llobregat (Automaticos) 1973)",Talleres del Llobregat (Automaticos),1973,"TV Show, Game Show",1,5247,-,EM,VPX,"JPSalas",4.0.0,2022-09-01
"1024 Bytes (Original 2006)",Original,2006,"Technology",1,-,-,SS,FP,"NorthernPinballTeam",1.0,2023-09-08
"2 in 1 (Bally 1964)",Bally,1964,"Cards",2,2698,-,EM,FP,"Margoni",1.0,2023-09-09
"2 in 1 (Bally 1964)",Bally,1964,"Cards",2,2698,-,EM,VPX,"Loserman76, -=Kees=-",1.0,2016-08-15
"2 in 1 (Bally 1964)",Bally,1964,"Cards",2,2698,-,EM,VPX,"-=Kees=-",1.0,2023-06-15
"2001 (Gottlieb 1971)",Gottlieb,1971,"Fantasy",1,2697,-,EM,VPX,"Wrd1972, Loserman76, Nestorgian, GNance, Leeoneil, Thalamus, BorgDog, Apophis, HauntFreaks, JPSalas",0.99a,2023-04-26
"2001 (Gottlieb 1971)",Gottlieb,1971,"Fantasy",1,2697,-,EM,FP,"Popotte",2.0,2023-09-08
"2001 (Gottlieb 1971)",Gottlieb,1971,"Fantasy",1,2697,-,EM,VPX,"Loserman76, GNance, Pinuck, BorgDog, HauntFreaks, JPSalas",1.0a,2023-06-15
"24 (Stern 2009)",Stern,2009,"Licensed Theme, TV Show, Crime",4,5419,-,SS,VPX,"DGrimmReaper, Bigus1, 32assassin, Freneticamnesic",1.0,2023-06-11
"24 (Stern 2009)",Stern,2009,"Licensed Theme, TV Show, Crime",4,5419,-,SS,FP,"NitroNimbus, rom, SLAMT1LT",2.0,2023-09-09
"24 (Stern 2009)",Stern,2009,"Licensed Theme, TV Show, Crime",4,5419,-,SS,VPX,"Morttis, Arconovum, Bigus1, 32assassin, Freneticamnesic",1.0-2.6,2023-06-13
"24 (Stern 2009)",Stern,2009,"Licensed Theme, TV Show, Crime",4,5419,-,SS,VPX,"Bigus1, 32assassin, Freneticamnesic",2.0,2023-11-20
"24 (Stern 2009)",Stern,2009,"Licensed Theme, TV Show, Crime",4,5419,-,SS,VPX,"32assassin, Freneticamnesic",2.0.1,2019-04-07
"250 cc (Inder 1992)",Inder,1992,"Sports, Motorcycle Racing",4,4089,-,SS,VPX,"Ext2k, JPSalas, TastyWasps",1.0.0,2023-11-29
"250 cc (Inder 1992)",Inder,1992,"Sports, Motorcycle Racing",4,4089,-,SS,VPX,"JPSalas",4.0.0,2022-09-01
"3-In-Line (Bally 1963)",Bally,1963,"Majorettes",4,2549,-,EM,VPX,"Alois",1.2,2021-01-28
"300 (Gottlieb 1975)",Gottlieb,1975,"Sports, Bowling",4,2539,-,EM,VPX,"Scampa123, Loserman76, Rawd, Pritch33, Leojreimroc, Apophis, HauntFreaks",1.1,2021-09-17
