Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
2 in 1 (Bally 1964),Bally,1964,Cards,2,2698,-,EM,FP,Margoni,1.0,2023-09-09,2 in 1
3-In-Line (Bally 1963),Bally,1963,Majorettes,4,2549,-,EM,VPX,Alois,1.2,2021-01-28,3-In-Line
4 Queens (Bally 1970),Bally,1970,"Cards, Happiness",1,936,-,EM,FP,Margoni,1.0,2023-09-10,4 Queens
50_50 (Bally 1965),Bally,1965,Fun Park,2,842,-,EM,FP,Leon Spalding,1.a,2023-09-11,50_50
Aces High (Bally 1965),Bally,1965,"Cards, Gambling, Poker, Riverboat",4,9,-,EM,VPX,"Mustang1961, Loserman76, -=Kees=-",2.1,2022-11-29,Aces High
Air Aces (Bally 1975),Bally,1975,"Adventure, Aviation, Combat",4,28,-,EM,VPX,"Bord, Scottacus",2.0,2019-04-30,Air Aces
Aladdin's Castle (Bally 1976),Bally,1976,"Fantasy, Mythology",2,40,-,EM,VPX,"Dozer, Mjr",1.01,2018-05-16,Aladdin's Castle
Amigo (Bally 1974),Bally,1974,"Dancing, Happiness, Music, Singing, World Culture",4,71,-,EM,VPX,"Teisen, Loserman76",1.0,2023-07-22,Amigo
Atlantis (Bally 1989),Bally,1989,"Mythology, Aquatic",4,106,-,SS,VPX,"UnclePaulie, Herweh, VPW Team",2.0.0,2022-05-25,Atlantis
Attack from Mars (Bally 1995),Bally,1995,"Aliens, Martians, Fantasy",4,-,-,SS,VPX,"G5k, DJRobX, Tom Tower, Fluffhead35, Tomate",1.3.11,2023-10-03,Attack from Mars
BMX (Bally 1982),Bally,1982,"Sports, Bicycling",-,335,-,SS,VPX,"MauiPunter, Halen, Pin-Pete, Mike Da Spike, JPSalas",1.0,2023-03-24,BMX
Baby Pac-Man (Bally 1982),Bally,1982,Video Game,2,125,-,SS,VPX,"Psiomicron, 32assassin, UncleWilly",1.0.5,2023-05-07,Baby Pac-Man
Balls-A-Poppin (Bally 1956),Bally,1956,"Happiness, Circus, Carnival",2,144,-,EM,VPX,"Teisen, Loserman76, GNance",1.0.0,2023-11-10,Balls-A-Poppin
Bally Hoo (Bally 1969),Bally,1969,"Circus, Carnival, Music",4,151,-,EM,FP,Margoni,1.0,2023-09-13,Bally Hoo
Ballyhoo (Bally 1932),Bally,1932,Flipperless,1,4817,-,PM,VPX,"CactusDude (Warbler33), Dude81818, Mfuegemann",2.0,2022-08-29,Ballyhoo
Band Wagon (Bally 1965),Bally,1965,"Circus, Carnival",4,163,-,EM,VPX,"Mustang1961, Loserman76, -=Kees=-",1.1,2022-12-05,Band Wagon
Beat the Clock (Bally 1985),Bally,1985,Sports,4,212,-,SS,VPX,"Jino0372, Goldchicco, Dboyrecords",1.3,2023-08-03,Beat the Clock
Big Show (Bally 1972),Bally,1972,"Circus, Carnival",2,275,-,EM,VPX,"Loserman76, User42, Wildman",1.0a,2021-11-29,Big Show
Big Valley (Bally 1970),Bally,1970,American West,4,289,-,EM,VPX,"Loserman76, Pbecker, Itchigo",1.0.0f,2022-03-21,Big Valley
Black Belt (Bally 1986),Bally,1986,Martial Arts,4,303,-,SS,VPX,"Merlinrtp, Destruk, Fredobiwan, Stefanaustria (STAT), AStirling21, Pegula, Jason Schaeffer, Team Tuga, Bigus1, JPSalas",6.0.4,2023-03-13,Black Belt
Black Jack (Bally 1978),Bally,1978,"Cards, Gambling",4,309,-,SS,VPX,"Ext2k, Allknowing2012, Bigus1",1.0,2023-12-19,Black Jack
Black Pyramid (Bally 1984),Bally,1984,"Adventure, Supernatural",4,312,-,SS,VPX,JPSalas,4.0.1,2023-08-30,Black Pyramid
Black Rose (Bally 1992),Bally,1992,"Fantasy, Pirates, Fictional",4,313,-,SS,FX,Zen Studios,-,2022-04-02,Black Rose
Blackwater 100 (Bally 1988),Bally,1988,"Sports, Motorcycles, Motocross",4,319,-,SS,VPX,"Goldchicco, Sindbad, Elvinu, 32assassin",1.1,2020-08-04,Blackwater 100
Bobby Orr Power Play (Bally 1978),Bally,1978,"Sports, Hockey, Celebrities",4,1858,-,SS,VPX,Bord,2.1,2022-04-08,Bobby Orr Power Play
Bon Voyage (Bally 1974),Bally,1974,"Aviation, Travel, Transportation",1,343,-,EM,VPX,"Cirqus, Xsvtoys, Sixtoe",1.0.0,2022-03-21,Bon Voyage
Boomerang (Bally 1974),Bally,1974,"Adventure, World Culture",4,354,-,EM,VPX,"Scottacus, Whirlwind, Onevox, Bord",2.08,2022-08-10,Boomerang
Bow and Arrow (Bally 1974),Bally,1974,"American West, Native Americans",4,362,-,EM,VPX,"Teisen, Loserman76, Goldchicco, JPSalas",1.0,2023-07-21,Bow and Arrow
Bugs Bunny's Birthday Ball (Bally 1991),Bally,1991,"Licensed Theme, Cartoon, Happiness, Kids",4,396,-,SS,VPX,"Wrd1972, Cyberpez, nFozzy, Flupper, DJRobX, Bodydump, Bord, Rothbauerw",2.3b,2023-05-11,Bugs Bunny's Birthday Ball
Cactus Canyon (Bally 1998),Bally,1998,American West,4,4445,-,SS,VPX,"VPin Workshop (VPW), Skitso, Oqqsan, Tomate, Tom Tower, Fleep, Iaakki, Sixtoe, Apophis, Ninuzzu, Rothbauerw",1.1,2022-09-06,Cactus Canyon
Cactus Canyon Continued (Bally 1998),Bally,1998,American West,4,4445,-,SS,VPX,"VPin Workshop (VPW), Skitso, Oqqsan, Tomate, Rik, Panik Flip Gaming, Tom Tower, Fleep, Iaakki, Sixtoe, Apophis, Ninuzzu, Rothbauerw, Rothbauerw",1.1,2022-09-06,Cactus Canyon Continued
Capersville (Bally 1966),Bally,1966,Fantasy,4,431,-,EM,VPX,"Scottacus, Loserman76, Xenonph, Thalamus, BorgDog, Arngrim, HauntFreaks",2.16,2022-08-10,Capersville
Capt. Fantastic and The Brown Dirt Cowboy (Bally 1976),Bally,1976,"Celebrities, Fictional, Licensed Theme",4,438,-,EM,VPX,"Leojreimroc, Dozer, Rosve, Stefanaustria (STAT), DJRobX, Bord, Thalamus, PinstratsDan, Rajo Joey, Apophis, Rothbauerw",2.0.2,2022-10-06,Capt. Fantastic and The Brown Dirt Cowboy
Carnival Queen (Bally 1958),Bally,1958,"Carnival, Happiness",1,456,-,EM,VPX,HSM,1.0,2019-11-06,Carnival Queen
Centaur (Bally 1981),Bally,1981,"Fantasy, Motorcycles",4,476,-,SS,VPX,"Bigus1, Bord, Rothbauerw",2.1,2023-02-26,Centaur
Champ (Bally 1974),Bally,1974,"Sports, Pinball",4,486,-,EM,VPX,"Jogrady7, -=Kees=-",1.0,2021-03-26,Champ
Champion (Bally 1939),Bally,1939,Flipperless,1,488,-,EM,FP,Francisco Pozo,1.1,2023-08-19,Champion
Circus (Bally 1973),Bally,1973,"Happiness, Circus, Carnival",-,521,-,EM,VPX,"Teisen, Loserman76",1.1,2023-08-18,Circus
Cirqus Voltaire (Bally 1997),Bally,1997,"Circus, Carnival",4,4059,-,SS,VPX,"VPin Workshop (VPW), Sixtoe, Dark, Randr, Knorr, ClarkKent",1.0.0,2023-09-23,Cirqus Voltaire
City Slicker (Bally 1987),Bally,1987,"Crime, Mobsters, Police",4,527,-,SS,VPX,"Mistermixer, Destruk, Kiwi, Tom, Arngrim, Bord, TAB",1.0,2021-03-08,City Slicker
Corvette (Bally 1994),Bally,1994,Cars,4,570,-,SS,VPX,"Bigus1, Balater, 85vett",2.0,2023-01-06,Corvette
Creature from the Black Lagoon (Bally 1992),Bally,1992,"Drive-In, Movie, Fictional, Licensed Theme",4,588,-,SS,FP,AnonTet,2.2,2023-08-02,Creature from the Black Lagoon
Cross Country (Bally 1963),Bally,1963,"Travel, American Places",1,598,-,EM,FP,Popotte,1.0,2023-09-17,Cross Country
Cybernaut (Bally 1985),Bally,1985,Science Fiction,4,614,-,SS,VPX,"Rajo Joey, Mistermixer, Schreibi34, Rawd, Rascal, Sixtoe",1.0.0,2022-03-28,Cybernaut
Dixieland (Bally 1968),Bally,1968,"American Places, Happiness, Music",1,692,-,EM,VPX,LuvThatApex,1.01,2020-12-09,Dixieland
Doctor Who (Bally 1992),Bally,1992,"Licensed Theme, TV Show",4,738,-,SS,-,"Bigus1, SliderPoint, Rothbauerw, oooPlayer1ooo",2.0,2023-03-12,Doctor Who
Dogies (Bally 1968),Bally,1968,American West,-,-,-,EM,FP,Margoni,1.0,2023-09-20,Dogies
Dolly Parton (Bally 1979),Bally,1979,"Celebrities, Licensed, Music, Singing",4,698,-,SS,VPX,"10mmSocket, JPSalas",1.0,2022-11-28,Dolly Parton
Double-Up (Bally 1970),Bally,1970,Motorcycles,1,4447,-,EM,VPX,"BorgDog, HauntFreaks",2.01,2019-05-03,Double-Up
Dr. Dude And His Excellent Ray (Bally 1990),Bally,1990,"Celebrities, Fictional",4,737,-,SS,VPX,"Wrd1972, Cyberpez, Flupper, DJRobX, Brad1X, Benji, GTXJoe, Bord, Rothbauerw, nFozzy, TastyWasps, Sixtoe, Leojreimroc",3.0,2023-09-16,Dr. Dude And His Excellent Ray
Dungeons & Dragons (Bally 1987),Bally,1987,"Licensed Theme, Fantasy",4,743,-,SS,FP,"Zobou, TheGhost787, Happycab",1.0,2023-09-17,Dungeons & Dragons
Eight Ball (Bally 1977),Bally,1977,Billiards,4,760,-,SS,FP,Popotte,1.00,2023-11-22,Eight Ball
Eight Ball Champ (Bally 1985),Bally,1985,Billiards,4,761,-,SS,VPX,"Goldchicco, 32assassin, Scapino",1.1,2021-11-29,Eight Ball Champ
Eight Ball Deluxe (Bally 1981),Bally,1981,Billiards,4,-,-,SS,FP,"NitroNimbus, Martin Brukner",2.0,2023-09-20,Eight Ball Deluxe
Elektra (Bally 1981),Bally,1981,Fantasy,4,778,-,SS,VPX,"UnclePaulie, 32assassin, Francisco666",2.0.7,2023-05-25,Elektra
Elvira and the Party Monsters (Bally 1989),Bally,1989,"Licensed Theme, Horror, Supernatural",4,782,-,SS,VPX,"Gman77, Jagandy82, Nagadevil, Versins77, 32assassin, HauntFreaks",1.0.0,2023-11-09,Elvira and the Party Monsters
Embryon (Bally 1981),Bally,1981,"Fantasy, Science Fiction",4,783,-,SS,VPX,UnclePaulie,2.0.2,2023-10-08,Embryon
Escape from the Lost World (Bally 1988),Bally,1988,"Fantasy, Dinosaurs",4,789,-,SS,VPX,"Rajo Joey, Armyaviation",1.0.1,2022-07-11,Escape from the Lost World
Evel Knievel (Bally 1977),Bally,1977,"Celebrities, Licensed Theme, Stunts",4,4499,-,SS,VPX,"HauntFreaks, 32assassin, TastyWasps, Leojreimroc",5.0,2023-10-20,Evel Knievel
