Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
Al Capone (LTD do Brasil 1984),LTD do Brasil,1984,"American History, Cards, Gambling, Crime, Mobsters",4,5176,-,SS,VPX,"Mfuegemann, Carlos Guizzo, Joao Pedras, Gaston",1.0,2019-12-29,Al Capone
Alien Warrior (LTD do Brasil 1982),LTD do Brasil,1982,"Aliens, Fantasy, Outer Space",-,5882,-,SS,VPX,"Wiesshund, Siggi, Chucky87, Gaston, CarlosGuizzo",4.0,2023-09-21,Alien Warrior
Arizona (LTD do Brasil 1977),LTD do Brasil,1977,American West,2,5890,-,SS,VPX,"Mfuegemann, Carlos Guizzo, Boituva Pinball Club",1.1,2020-03-07,Arizona
Atlantis (LTD do Brasil 1978),LTD do Brasil,1978,Fantasy,2,6712,-,SS,VPX,"Mfuegemann, Carlos Guizzo",1.0,2020-09-04,Atlantis
Black Hole (LTD do Brasil 1982),LTD do Brasil,1982,"Outer Space, Space Fantasy",2,5891,-,SS,VPX,"Wiesshund, Halen, Gaston, Scutters, JPSalas",4.0,2023-09-21,Black Hole
Columbia (LTD do Brasil 1983),LTD do Brasil,1983,"Outer Space, Exploration",4,5759,-,SS,VPX,"Wiesshund, Mfuegemann",4.0,2023-09-21,Columbia
Cowboy Eight Ball (LTD do Brasil 1981),LTD do Brasil,1981,Billiards,3,5132,-,SS,VPX,"JPSalas, Carlos Guizzo, Mfuegemann, Nasa, Stefanaustria (STAT)",4.0.0,2023-09-01,Cowboy Eight Ball
Cowboy Eight Ball 2 (LTD do Brasil 1981),LTD do Brasil,1981,Billiards,-,5734,-,SS,VPX,"JPSalas, Carlos Guizzo, Nasa, Stefanaustria (STAT), Destruk, Akiles50000, TAB",4.0.0,2022-09-21,Cowboy Eight Ball 2
Disco Dancing (LTD do Brasil 1979),LTD do Brasil,1979,"Dancing, Happiness, Music, Nightlife",-,5892,-,SS,VPX,"JPSalas, Halen, Carlos Guizzo, Mfuegemann",1.0.1,2023-02-06,Disco Dancing
Force (LTD do Brasil 1979),LTD do Brasil,1979,"Outer Space, Science Fiction, Space Fantasy",-,5893,-,SS,VPX,"Mfuegemann, Carlos Guizzo, Wmpimentel, Wiesshund, Siggi",1.3,2023-02-22,Force
Galaxia (LTD do Brasil 1975),LTD do Brasil,1975,Outer Space,-,-,-,SS,VPX,"JPSalas, Halen",1.0,2023-06-04,Galaxia
Haunted Hotel (LTD do Brasil 1983),LTD do Brasil,1983,"Adventure, Supernatural",4,5704,-,SS,VPX,"Wiesshund, Carlos Guizzo, Halen, Gaston, Pedator, Mfuegemann, Toxie, Fuzzel, Cyberpez, Scutters, JPSalas",4.0,2023-09-21,Haunted Hotel
Hustler (LTD do Brasil 1980),LTD do Brasil,1980,"Sports, Billiards",-,6706,-,EM,VPX,"JPSalas, Stefanaustria (STAT), Joey2001, Carlos Guizzo, Leeoneil",4.1.0,2023-06-04,Hustler
King Kong (LTD do Brasil 1978),LTD do Brasil,1978,"Fantasy, Monsters",2,5894,-,SS,VPX,"Mfuegemann, Carlos Guizzo",1.1,2020-11-02,King Kong
Kung Fu (LTD do Brasil 1975),LTD do Brasil,1975,Martial Arts,2,-,-,EM,VPX,"JPSalas, Halen",1.0.1,2023-06-22,Kung Fu
Martian Queen (LTD do Brasil 1981),LTD do Brasil,1981,"Aliens, Martians, Fantasy, Outer Space",-,5885,-,SS,VPX,"Mfuegemann, Carlos Guizzo, Joao Pedras, Gaston, Akiles50000",1.2,2019-11-06,Martian Queen
Mr. & Mrs. Pec-Men (LTD do Brasil 1983),LTD do Brasil,1983,"Happiness, Video Game",-,-,-,SS,VPX,"Carlos Guizzo, Wiesshund, JPSalas",1.0.0,2023-01-21,Mr. & Mrs. Pec-Men
O Gaucho (LTD do Brasil 1975),LTD do Brasil,1975,American West,-,-,-,EM,FP,"Rodrigo Ataguile (RoAtaguile), Exegeta",1.0,2024-01-09,O Gaucho
Space Poker (LTD do Brasil 1982),LTD do Brasil,1982,"Science Fiction, Outer Space, Cards, Gambling",2,5886,-,SS,VPX,"Wiesshund, Halen, Mfuegemann",4.0,2023-09-21,Space Poker
Time Machine (LTD do Brasil 1984),LTD do Brasil,1984,"Science Fiction, Time Travel",-,5887,-,SS,VPX,"Wiesshund, Siggi, CarlosGuizzo, Gaston, Chucky87",4.0,2023-09-21,Time Machine
Trick Shooter  (LTD do Brasil 1980),LTD do Brasil,1980,American West,-,5888,-,SS,VPX,"JPSalas, Halen, Mfuegemann, Carlos Guizzo, LTD group",1.0.0,2022-12-29,Trick Shooter
Viking King (LTD do Brasil 1979),LTD do Brasil,1979,Norse Mythology,2,5895,-,SS,VPX,"Mfuegemann, Carlos Guizzo, Joao Pedras, Gaston",1.0,2019-12-29,Viking King
Zephy (LTD do Brasil 1982),LTD do Brasil,1982,Fantasy,3,4592,-,SS,VPX,"JPSalas, Carlos Guizzo, Mfuegemann, Nasa, Stefanaustria (STAT), Akiles50000",4.3.0,2023-11-07,Zephy
