Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
 Dava's Everquest II - Pinball Tribute (Original 2023),Original,2023,"Fantasy, Roleplaying",-,-,-,SS,VPX,"Davadruix, JPSalas",1.1.1,2023-11-20,Dava's Everquest II - Pinball Tribute
1024 Bytes (Original 2006),Original,2006,Technology,1,-,-,SS,FP,NorthernPinballTeam,1.0,2023-09-08,1024 Bytes
300 Prepare for Glory (Original 2008),Original,2008,"History, Movie",1,-,-,-,FP,Brad Bambara,1.0,2023-09-09,300 Prepare for Glory
A Christmas Carol Pinball (Original 2020),Original,2020,"Licensed Theme, Movie, Christmas",4,-,-,SS,VPX,"Stevegooner1234, Xenonph, Wildman, Lizard",06142023,2023-06-15,A Christmas Carol Pinball
A Real American Hero - Operation P.I.N.B.A.L.L. (Original 2022),Original,2022,"Toy Franchise, Kids",-,-,-,SS,VPX,"Xenonph, Lizard, Slydog43, Thalamus, Stefanaustria (STAT), GTXJoe, Allknowing2012, JPSalas",2.1,2023-06-12,A Real American Hero - Operation P.I.N.B.A.L.L.
ABBA (Original 2020),Original,2020,Music,-,-,-,SS,VPX,"Grayghost27053, Stefanaustria (STAT), Slydog43, JPSalas",2.0,2020-05-18,ABBA
AC_DC (Original 2012),Original,2012,"Licensed Theme, Music",-,-,-,SS,VPX,"Goldchicco, JPSalas, Grizz, Destruk, Doogie, Arngrim",1.0,2023-07-06,AC_DC
AC_DC PWR Up Edition (Original 2022),Original,2022,"Licensed Theme, Music",-,-,-,SS,VPX,"Djules, Britman, Movieguru, Mark G, Freezy, Ninuzzu",1.0.0,2023-08-08,AC_DC PWR Up Edition
Accept (Original 2019),Original,2019,"Music, Heavy Metal",-,-,-,SS,VPX,"Batch, Thalamus, Kalavera, Xenonph, Flupper, Kiwi, RetroBash, Zanny, JPSalas",1.2,2021-12-18,Accept
Ace Ventura - Pet Detective (Original 2019),Original,2019,"Movie, Comedy",4,-,-,SS,VPX,"Ivantba, JPSalas",1.0,2019-08-25,Ace Ventura - Pet Detective
