Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
24 (Stern 2009),Stern,2009,"Licensed Theme, TV Show, Crime",4,5419,-,SS,VPX,"DGrimmReaper, Bigus1, 32assassin, Freneticamnesic",1.0,2023-06-11,24
AC_DC Back in Black - Limited Edition (Stern 2012),Stern,2012,"Licensed Theme, Music",-,5777,-,SS,VPX,"Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.5,2023-06-17,AC_DC Back in Black - Limited Edition
AC_DC LUCI - Vault Edition (Stern 2018),Stern,2018,"Licensed Theme, Music",-,6502,-,SS,VPX,"Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.5,2023-06-17,AC_DC LUCI - Vault Edition
AC_DC LUCI Premium (Stern 2013),Stern,2013,"Licensed Theme, Music",4,6060,-,SS,VPX,"VPin Workshop (VPW), Fluffhead35, nFozzy, Tomate, Retro27, Schlabber34, Bietekwiet, PinstratsDan, BountyBob, DJRobX, Dark, Tom Tower, Knorr, Rysr, Peter J, Javier, Sixtoe, Apophis, Ninuzzu, HauntFreaks",1.1,2023-01-30,AC_DC LUCI Premium
AC_DC Let There Be Rock - Limited Edition (Stern 2012),Stern,2012,"Licensed Theme, Music",-,5776,-,SS,VPX,"Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.5,2023-06-17,AC_DC Let There Be Rock - Limited Edition
AC_DC Premium (Stern 2012),Stern,2012,"Licensed Theme, Music",-,5775,-,SS,VPX,"Drhotwing, Ninuzzu",1.0,2023-06-17,AC_DC Premium
AC_DC Pro (Stern 2012),Stern,2012,"Licensed Theme, Music",-,5767,-,SS,VPX,"Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.0,2023-06-17,AC_DC Pro
AC_DC Pro - Vault Edition (Stern 2017),Stern,2017,"Licensed Theme, Music",-,6439,-,SS,VPX,"Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.0,2023-06-17,AC_DC Pro - Vault Edition
Ali (Stern 1980),Stern,1980,"Sports, Boxing, Licensed Theme",4,43,-,SS,FP,"NitroNimbus, Cypher80b, DStruct",2.0,2023-09-11,Ali
Austin Powers (Stern 2001),Stern,2001,"Licensed Theme, Movie",4,109,-,SS,VPX,"Bigus1, Javier1515, Destruk, TAB",3.0,2023-05-04,Austin Powers
"Avatar, James Cameron's (Stern 2010)",Stern,2010,"Fantasy, Licensed Theme",4,5618,-,SS,FP,"GeorgeH, Gimli, JLou, AnonTet, Fleep, Popotte, Lacarril, Francisco666, TerryRed, NitroNimbus, VPGamer75, Xenonph, Dino007, SLAMT1LT",3.0,2023-12-19,"Avatar, James Cameron's"
Batman 66 (Stern 2016),Stern,2016,"Comics, Licensed Theme, Superheroes",-,-,-,SS,VPX,"Daphishbowl, Mr H, MPT3k, Harlan, Dimi, Flipstream, Rik, TerryRed, Waxx, Joey, DJRobX, G5k, Pinballfan2018, VPW Team, Benji, AstroNasty, Iaakki, Sixtoe, EBisLit, Apophis, Bord, Nailbuster",1.1.0,2023-08-27,Batman 66
Batman The Dark Knight (Stern 2008),Stern,2008,"Licensed Theme, Movie, Superheroes, Comics",4,5307,-,SS,VPX,"Bord, Apophis, Sixtoe, Iaakki, Wylte, Retro27, RiK, PinstratsDan, Ninuzzu, Tom Tower",1.0.7,2022-09-23,Batman The Dark Knight
Big Buck Hunter Pro (Stern 2010),Stern,2010,"Hunting, Licensed Theme",4,5513,-,SS,VPX,"Bigus1, 32assassin, 85vett",2.0,2023-05-04,Big Buck Hunter Pro
Big Game (Stern 1980),Stern,1980,"Hunting, Safari",4,249,-,SS,VPX,"Redbone, JPSalas, Inkochnito",1.5.1,2023-12-06,Big Game
Black Knight - Sword of Rage (Stern 2019),Stern,2019,"Medieval, Knights",4,6569,-,SS,VPX,"Vinch52, Timblo, Eric D. , BurtMacklin, Ico",3.86,2022-09-26,Black Knight - Sword of Rage
CSI (Stern 2008),Stern,2008,"Licensed Theme, Detective, Crime, TV Show",4,5348,-,SS,FP,"NitroNimbus, Francisco666, rom, Skinooe",2.0,2023-09-17,CSI
Catacomb (Stern 1981),Stern,1981,Horror,4,469,-,SS,VPX,"HSM, 32assassin, Mfuegemann, Stefanaustria (STAT)",1.0,2020-01-26,Catacomb
Cheetah (Stern 1980),Stern,1980,"Jungle, Fantasy",4,500,-,SS,VPX,"JPSalas, StrangeLeo, Kalavera, Destruk",4.0.0,2022-09-19,Cheetah
Cosmic Princess (Stern 1979),Stern,1979,Astrology,4,3967,-,SS,FP,"AnonTet, JLou, Popotte, Editoy, Fleep, Smoke, Ravarcade, Raycast",1.5.5,2023-09-20,Cosmic Princess
Cue (Stern 1982),Stern,1982,Billiards,4,3873,-,SS,VPX,"Whridlsoncestood, Scotty VH, Wildman, Sixtoe, Armyaviation, Arngrim, 32assassin, Bord",1.0,2021-04-02,Cue
Dale Jr. NASCAR (Stern 2007),Stern,2007,"Sports, Auto Racing, Cars",4,5292,-,SS,VPX,"Morttis, Arconovum, Requiem, 32assassin, JPSalas",1.01-3.0,2023-06-13,Dale Jr. NASCAR
Deadpool - Special Edition (Stern 2018),Stern,2018,"Comics, Superheroes",-,-,-,-,FP,Wbshrk,2.0,2022-11-11,Deadpool - Special Edition
Disco (Stern 1977),Stern,1977,"Music, Singing, Dancing",-,685,-,EM,FP,Martin Brunker,1.0,2023-09-17,Disco
Dracula (Stern 1979),Stern,1979,"Fictional, Supernatural, Horror",4,728,-,SS,VPX,"10mmSocket, Bord",1.0.0,2022-11-06,Dracula
Elvis (Stern 2004),Stern,2004,"Licensed Theme, Music",4,4983,-,SS,VPX,"JPSalas, Steve Paradis (Polygame), Chokeee, Mitty723, Batch, Coten",4.3.2,2023-12-15,Elvis
Family Guy (Stern 2007),Stern,2007,"Licensed Theme, Animation, TV Show",4,5219,-,SS,VPX,"Michel757, Bigus1, Ninuzzu, Vbobrusev",1.0,2023-11-25,Family Guy
Flight 2000 (Stern 1980),Stern,1980,Outer Space,4,887,-,SS,VPX,"Bigus1, HSM",2.0,2022-09-06,Flight 2000
Freefall (Stern 1981),Stern,1981,Fantasy,4,953,-,SS,VPX,JPSalas,4.0.0,2022-09-28,Freefall
Galaxy (Stern 1980),Stern,1980,Outer Space,4,980,-,SS,VPX,"Bord, Nestorgian",2.0.0,2023-05-07,Galaxy
Game of Thrones - Limited Edition (Stern 2015),Stern,2015,"Licensed Theme, Medieval",-,6309,-,SS,VPX,"VPin Workshop (VPW), Skillman, Oqqsan, Daphishbowl, Tomate, Niwak, AstroNasty, Leojreimroc, Sixtoe, Apophis",1.0.2,2023-01-02,Game of Thrones - Limited Edition
Ghostbusters (Stern 2016),Stern,2016,"Licensed Theme, Science Fiction",4,6334,-,SS,FP,"VP1000, Smoke, SLAMT1LT, JPSalas",1.4,2023-10-10,Ghostbusters
Godzilla (Stern 2021),Stern,2021,"Licensed Theme, Monsters, Science Fiction",-,6841,-,SS,FP,"Fastdraw (Granit), Mathiasg",1.2.1,2023-08-06,Godzilla
Guardians of the Galaxy (Stern 2017),Stern,2017,"Licensed Theme, Comics, Superheroes, Movie",4,6474,-,SS,VPX,"Daphishbowl, Pincredibles, MPT3k, Mr H, Rik, Harlan, Orbital Group, Vaas, Waxx, Ashtone6, Al Terry, VPW Team, PinstratsDan, BountyBob, Wylte, Toby, James D, DJRobX, MrFireshots, Sixtoe, Apophis, Arngrim, HauntFreaks, Nailbuster",2.1.1,2022-11-07,Guardians of the Galaxy
High Roller Casino (Stern 2001),Stern,2001,Gambling,4,4502,-,SS,VPX,"Morttis, DJRobX, Dids666, Arconovum",1.1-1.0,2023-06-19,High Roller Casino
Hot Hand (Stern 1979),Stern,1979,"Cards, Gambling",4,1244,-,SS,VPX,"Thalamus, Destruk, Jak54, GTXJoe, BorgDog, Armyaviation, 32assassin, Bord",1.0,2021-04-02,Hot Hand
Indiana Jones (Stern 2008),Stern,2008,"Licensed Theme, Mythology",4,-,-,SS,VPX,"Bigus1, Hanibal, Freneticamnesic, Highlnder00, Glxb",2.0,2022-09-11,Indiana Jones
Iron Maiden (Stern 1982),Stern,1982,Fantasy,4,1270,-,SS,VPX,"JPSalas, Destruk, Carlos Guizzo",4.0.0,2022-09-30,Iron Maiden
Iron Man (Stern 2010),Stern,2010,"Licensed Theme, Comics, Fantasy, Superheroes",4,5550,-,SS,FP,"HZR, SLAMT1LT",1.05,2023-08-09,Iron Man
JP's Grand Prix (Stern 2005),Stern,2005,"Sports, Auto Racing",4,5120,-,SS,VPX,"Bigus1, JPSalas",2.0,2023-07-21,JP's Grand Prix
JP's Indiana Jones (Stern 2008),Stern,2008,"Licensed Theme, Movie, Mythology",4,-,-,SS,VPX,JPSalas,5.0.1,2023-09-05,JP's Indiana Jones
JP's Seawitch (Stern 1980),Stern,1980,Fantasy,4,2089,-,SS,VPX,JPSalas,4.3.0,2023-11-02,JP's Seawitch
