Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
Apache (Playmatic 1975),Playmatic,1975,"Crime, Women, Adult",1,4483,-,EM,VPX,Nestorgian,1.1.0,2023-09-04,Apache
Big Dick (Fabulous Fantasies 1996),Fabulous Fantasies,1996,Adult,1,4539,-,EM,VPX,"jeffh, Alois, Loserman76",1.0,2021-02-09,Big Dick
Dominatrix (Original 2022),Original,2022,"Adult, Women",-,-,-,EM,VPX,Icepinball,1.0.0,2022-04-01,Dominatrix
New Sexy Girl (Original 1980),Original,1980,"Women, Adult",4,2106,-,SS,VPX,"Lizard, Siggi",1.0,2018-07-23,New Sexy Girl
Night Moves (International Concepts 1989),International Concepts,1989,"Adult, Nightlife",4,3507,-,SS,VPX,"Kiwi, DJRobX, Inkochnito, Scutters, GTXJoe, Arngrim, JPSalas, Rothbauerw, Mike Da Spike",1.1.1,2021-11-22,Night Moves
Penthouse (Pinball Dreams 2008),Pinball Dreams,2008,Adult,-,-,-,SS,VPX,"Batch, Takut, Rob046, Popotte, Taltmeyer, Thalamus, JPSalas, Miss World",1.5,2020-06-17,Penthouse
Playboy (Stern 2002),Stern,2002,"Adult, Licensed Theme",4,-,-,SS,VPX,"Pattyg234, HiRez00, Rascal, GothGloom, Mary, Destruk, Dark, Zany, nFozzy, Thalamus, Arngrim, Bigus1, Siggi, TAB",1.0,2023-12-15,Playboy
Playboy 35th Anniversary (Data East 1989),Data East,1989,"Celebrities, Licensed Theme, Adult",-,1822,-,SS,VPX,"Ext2k, JPSalas, TastyWasps, Wildman",1.0.0,2023-11-25,Playboy 35th Anniversary
Playmate - Limited Edition (Original 2020),Original,2020,Adult,4,-,-,SS,VPX,"GTXJoe, Goldchicco, ICPjuggla",1.0,2020-11-06,Playmate - Limited Edition
Sexy Girl (Arkon 1980),Arkon,1980,"Women, Adult",4,2106,-,SS,VPX,"Lizard, Destruk, Mickey, Steely, Pinball Ken, Koadic, JimmyFingers, Rascal, Cyberpez, Seraph74, GTXJoe, Arngrim, HauntFreaks, JPSalas, ICPjuggla",1.0,2016-07-04,Sexy Girl
Strip Joker Poker (Gottlieb 1978),Gottlieb,1978,"Cards, Gambling, Adult, Poker",4,1306,-,EM,VPX,"HiRez00, Pinballfan2018, HiRez00's wife, BorgDog, Apophis, Goldchicco",1.5,2023-01-19,Strip Joker Poker
"Purge, The (Original 2022)",Original,2022,"Horror, Adult",-,-,-,SS,VPX,"Pedro Peres, Team Tuga, Mario Joao Paulo, Balutito, Pritch33, Ayatollah of Rock, DigitalJedi084, Dom Wainright Chicken, JPSalas",1.0.0-1.2,2023-06-25,"Purge, The"
