Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
Check Mate (Taito do Brasil 1977),Taito do Brasil,1977,Board Game,4,5491,-,EM,VPX,"JPSalas, Editoy, Stefanaustria (STAT)",4.3.0,2023-06-28,Check Mate
Clue (Original 2018),Original,2018,"Detective, Crime, Board Games",-,-,-,SS,VPX,"Fusionwerks, Flupper, ScottyWic, Roccodimarco, Thalamus, Xenonph, Arngrim, HauntFreaks, JPSalas, Nailbuster",1.2,2018-10-28,Clue
Domino (Gottlieb 1968),Gottlieb,1968,"Happiness, Games, Board Games",1,701,-,EM,VPX,"Loserman76, GNance, Pinuck, BorgDog, Arngrim, HauntFreaks, JPSalas",1.0.0f,2021-12-15,Domino
Egg Head (Gottlieb 1961),Gottlieb,1961,"Games, Board Games, Tic-Tac-Toe",1,758,-,EM,VPX,"Teisen, Loserman76, Foxyt, GNance",1.1.0,2023-11-08,Egg Head
Grande Domino (Gottlieb 1968),Gottlieb,1968,"Dominoes, Games, Board Games",1,1069,-,EM,VPX,"Loserman76, GNance",1.0,2019-06-08,Grande Domino
Monopoly (Stern 2001),Stern,2001,"Board Games, Licensed Theme",4,4505,-,SS,VPX,"Tanawts, Bigus1, 32assassin",1.2,2023-06-26,Monopoly
OXO (Williams 1973),Williams,1973,"Board Games, Tic-Tac-Toe",4,1733,-,EM,VPX,"Scottacus, Onevox, Whirlwind, Bord",2.28,2022-08-10,OXO
PlayMates (Gottlieb 1968),Gottlieb,1968,"Happiness, Board Games, Dominoes",1,1828,-,EM,VPX,"Loserman76, GNance, Pinuck, BorgDog, Arngrim, HauntFreaks, JPSalas",1.0.0f,2021-12-15,PlayMates
Triple X (Williams 1973),Williams,1973,"Board Games, Tic-Tac-Toe",2,6496,-,EM,VPX,"Scottacus, Onevox, Whirlwind, Bord",1.08,2022-08-10,Triple X
WOW Monopoly (Original 2015),Original,2015,"Fantasy, Board Games, Video Game",-,-,-,SS,VPX,"JPSalas, PacDude, Arngrim, Rothbauerw",4.0.0,2022-10-16,WOW Monopoly
X's & O's (Bally 1984),Bally,1984,"Board Games, Tic-Tac-Toe",4,2822,-,SS,VPX,"Michel757, Goldchicco, 32assassin, Vincent Bousquet",1.2,2023-12-11,X's & O's
