Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
 Dava's Everquest II - Pinball Tribute (Original 2023),Original,2023,"Fantasy, Roleplaying",-,-,-,SS,VPX,"Davadruix, JPSalas",1.1.1,2023-11-20,Dava's Everquest II - Pinball Tribute
2001 (Gottlieb 1971),Gottlieb,1971,Fantasy,1,2697,-,EM,VPX,"Wrd1972, Loserman76, Nestorgian, GNance, Leeoneil, Thalamus, BorgDog, Apophis, HauntFreaks, JPSalas",0.99a,2023-04-26,2001
Abra Ca Dabra (Gottlieb 1975),Gottlieb,1975,"Fantasy, Wizards, Magic",1,2,-,EM,FP,"NitroNimbus, Popotte, SLAMT1LT",2.0,2023-09-11,Abra Ca Dabra
Adventure Land (Zen Studios 2017),Zen Studios,2017,Fantasy,4,-,-,-,FX,Zen Studios,-,2022-04-02,Adventure Land
Aladdin's Castle (Bally 1976),Bally,1976,"Fantasy, Mythology",2,40,-,EM,VPX,"Dozer, Mjr",1.01,2018-05-16,Aladdin's Castle
Algar (Williams 1980),Williams,1980,Fantasy,4,42,-,SS,VPX,"Michel757, Thalamus, Kalavera",1.0,2021-11-24,Algar
Alien Star (Gottlieb 1984),Gottlieb,1984,"Outer Space, Fantasy",4,49,-,SS,VPX,"Versins77, BorgDog, VPW Team, HauntFreaks",1.0.0,2023-06-25,Alien Star
Alien Warrior (LTD do Brasil 1982),LTD do Brasil,1982,"Aliens, Fantasy, Outer Space",-,5882,-,SS,VPX,"Wiesshund, Siggi, Chucky87, Gaston, CarlosGuizzo",4.0,2023-09-21,Alien Warrior
Andromeda (Game Plan 1985),Game Plan,1985,"Fantasy, Women",4,73,-,SS,VPX,"JPSalas, Siggi, Editoy, Kiwi, Albert",4.0.0,2022-09-06,Andromeda
Antar (Playmatic 1979),Playmatic,1979,"Dragons, Fantasy",-,3646,-,SS,VPX,"Bigus1, Schinkenpeter",1.0,2023-12-29,Antar
