Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
A Real American Hero - Operation P.I.N.B.A.L.L. (Original 2022),Original,2022,"Toy Franchise, Kids",-,-,-,SS,VPX,"Xenonph, Lizard, Slydog43, Thalamus, Stefanaustria (STAT), GTXJoe, Allknowing2012, JPSalas",2.1,2023-06-12,A Real American Hero - Operation P.I.N.B.A.L.L.
Adventure Time - Rainy Day Daydream (Original 2022),Original,2022,"Animation, Kids",-,-,-,SS,VPX,"User42, Rascal, Kevinleedrum, Mfuegemann, Bigus1",1.0,2022-02-18,Adventure Time - Rainy Day Daydream
Adventures of Rocky and Bullwinkle and Friends (Data East 1993),Data East,1993,"Cartoon, Kids",4,23,-,SS,VPX,"Cyberpez, Scottacus, TastyWasps, Passion4Pins, Arvid, Sliderpoint, Wrd1972, Rothbauerw, Dark, FBX, TheMotherBrain, DJRobX, RustyCardores",1.0.6,2024-01-09,Adventures of Rocky and Bullwinkle and Friends
Albator 78 (Original 2022),Original,2022,"Anime, Kids",-,-,-,SS,VPX,"Cez60, Sylvidres, JPSalas",1.0.1,2022-04-03,Albator 78
Albator The Movie (Original 2022),Original,2022,"Anime, Kids",-,-,-,-,VPX,"Cez60, JPSalas",1.0.0,2022-04-02,Albator The Movie
Animal Crossing Pinball (Original 2021),Original,2021,"Video Game, Kids",-,-,-,SS,VPX,"SG1bsoN, HiRez00",1.1,2021-12-08,Animal Crossing Pinball
Asterix the Twelve Tasks (Original 2022),Original,2022,"Animation, Kids",-,-,-,SS,VPX,"Balanica, JPSalas",4.0,2022-09-11,Asterix the Twelve Tasks
Bart vs. the Space Mutants (Original 2017),Original,2017,"Animation, Kids, TV Show",-,-,-,SS,VPX,TheGhost787,1.1,2017-01-01,Bart vs. the Space Mutants
Biene Maja (Original 2022),Original,2022,"Animation, Kids",-,-,-,SS,-,Icepinball,1.0.0,2022-04-03,Biene Maja
Blaze And The Monster Machines (Original 2021),Original,2021,"TV Show, Kids",4,-,-,SS,VPX,"Buffalo Pin Bro, Hawkeyez88, RetroG33k, Goldchicco",1.2,2022-05-13,Blaze And The Monster Machines
