Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
24 (Stern 2009),Stern,2009,"Licensed Theme, TV Show, Crime",4,5419,-,SS,VPX,"DGrimmReaper, Bigus1, 32assassin, Freneticamnesic",1.0,2023-06-11,24
A Christmas Carol Pinball (Original 2020),Original,2020,"Licensed Theme, Movie, Christmas",4,-,-,SS,VPX,"Stevegooner1234, Xenonph, Wildman, Lizard",06142023,2023-06-15,A Christmas Carol Pinball
AC_DC (Original 2012),Original,2012,"Licensed Theme, Music",-,-,-,SS,VPX,"Goldchicco, JPSalas, Grizz, Destruk, Doogie, Arngrim",1.0,2023-07-06,AC_DC
AC_DC Back in Black - Limited Edition (Stern 2012),Stern,2012,"Licensed Theme, Music",-,5777,-,SS,VPX,"Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.5,2023-06-17,AC_DC Back in Black - Limited Edition
AC_DC LUCI - Vault Edition (Stern 2018),Stern,2018,"Licensed Theme, Music",-,6502,-,SS,VPX,"Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.5,2023-06-17,AC_DC LUCI - Vault Edition
AC_DC LUCI Premium (Stern 2013),Stern,2013,"Licensed Theme, Music",4,6060,-,SS,VPX,"VPin Workshop (VPW), Fluffhead35, nFozzy, Tomate, Retro27, Schlabber34, Bietekwiet, PinstratsDan, BountyBob, DJRobX, Dark, Tom Tower, Knorr, Rysr, Peter J, Javier, Sixtoe, Apophis, Ninuzzu, HauntFreaks",1.1,2023-01-30,AC_DC LUCI Premium
AC_DC Let There Be Rock - Limited Edition (Stern 2012),Stern,2012,"Licensed Theme, Music",-,5776,-,SS,VPX,"Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.5,2023-06-17,AC_DC Let There Be Rock - Limited Edition
AC_DC PWR Up Edition (Original 2022),Original,2022,"Licensed Theme, Music",-,-,-,SS,VPX,"Djules, Britman, Movieguru, Mark G, Freezy, Ninuzzu",1.0.0,2023-08-08,AC_DC PWR Up Edition
AC_DC Premium (Stern 2012),Stern,2012,"Licensed Theme, Music",-,5775,-,SS,VPX,"Drhotwing, Ninuzzu",1.0,2023-06-17,AC_DC Premium
AC_DC Pro (Stern 2012),Stern,2012,"Licensed Theme, Music",-,5767,-,SS,VPX,"Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.0,2023-06-17,AC_DC Pro
AC_DC Pro - Vault Edition (Stern 2017),Stern,2017,"Licensed Theme, Music",-,6439,-,SS,VPX,"Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.0,2023-06-17,AC_DC Pro - Vault Edition
Ali (Stern 1980),Stern,1980,"Sports, Boxing, Licensed Theme",4,43,-,SS,FP,"NitroNimbus, Cypher80b, DStruct",2.0,2023-09-11,Ali
Alien Covenant (Original 2023),Original,2023,"Licensed Theme, Horror, Science Fiction, Movie",-,-,-,SS,VPX,"Bombaj344, Ghostfreaks, BurtMacklin, BorgDog, HauntFreaks, JPSalas, Rothbauerw",1.1,2023-04-01,Alien Covenant
Alien Isolation Pinball (Zen Studios 2016),Zen Studios,2016,"Licensed Theme, Horror, Science Fiction, Movie",4,-,-,-,FX3,Zen Studios,-,2000-01-01,Alien Isolation Pinball
Alien Nostromo (Original 2022),Original,2022,"Licensed Theme, Horror, Science Fiction, Movie",-,-,-,-,VPX,"Gh0stbust3r, Delta23, JPSalas",4.0,2022-03-07,Alien Nostromo
Alien Resurrection (Original 2022),Original,2022,"Licensed Theme, Horror, Science Fiction, Movie",-,-,-,SS,VPX,"Ivantba, TonyTheWrench",1.0,2022-08-22,Alien Resurrection
Alien Trilogy (Original 2019),Original,2019,"Licensed Theme, Horror, Science Fiction, Movie",-,-,-,SS,VPX,"Ivantba, Lodger",1.0,2019-02-12,Alien Trilogy
Alien vs Predator Pinball (Zen Studios 2016),Zen Studios,2016,"Licensed Theme, Horror, Science Fiction, Movie",4,-,-,-,FX3,Zen Studios,-,2000-01-01,Alien vs Predator Pinball
Aliens (Original 2020),Original,2020,"Licensed Theme, Horror, Science Fiction, Movie",4,-,-,SS,VPX,"Solters, Bombaj344, Delta23, Rascal",1.0,2022-07-19,Aliens
Aliens Legacy (Original 2005),Original,2005,"Movie, Licensed Theme, Science Fiction",-,-,-,-,FP,"TerryRed, Steve Paradis (Polygame), SLAMT1LT, Paolo (Wild), David Eisner (Pinballwzd)",1.1,2023-12-09,Aliens Legacy
Aliens Pinball (Zen Studios 2016),Zen Studios,2016,"Licensed Theme, Horror, Science Fiction, Movie",4,-,-,-,FX3,Zen Studios,-,2000-01-01,Aliens Pinball
American Dad! Pinball (Zen Studios 2015),Zen Studios,2015,"Licensed Theme, TV Show",4,-,-,-,FX3,Zen Studios,-,2000-01-01,American Dad! Pinball
Archer Pinball (Zen Studios 2015),Zen Studios,2015,"Licensed Theme, TV Show",4,-,-,-,FX3,Zen Studios,-,2000-01-01,Archer Pinball
Austin Powers (Stern 2001),Stern,2001,"Licensed Theme, Movie",4,109,-,SS,VPX,"Bigus1, Javier1515, Destruk, TAB",3.0,2023-05-04,Austin Powers
"Avatar, James Cameron's (Stern 2010)",Stern,2010,"Fantasy, Licensed Theme",4,5618,-,SS,FP,"GeorgeH, Gimli, JLou, AnonTet, Fleep, Popotte, Lacarril, Francisco666, TerryRed, NitroNimbus, VPGamer75, Xenonph, Dino007, SLAMT1LT",3.0,2023-12-19,"Avatar, James Cameron's"
Back to the Future (Data East 1990),Data East,1990,"Licensed Theme, Science Fiction, Time Travel",4,126,-,SS,VPX,"Versins77, Cyberpez, Wrd1972, JPSalas",1.0.0,2023-07-14,Back to the Future
Back to the Future Pinball (Zen Studios 2017),Zen Studios,2017,"Licensed Theme, Science Fiction, Time Travel, Movie",4,-,-,-,FX,"Zen Studios, Peter Grafl",-,2022-04-02,Back to the Future Pinball
Barb Wire (Gottlieb 1996),Gottlieb,1996,"Celebrities, Fictional, Licensed Theme",4,3795,-,SS,VPX,"Joe Picasso, AstroNasty, Remdwaas1986, Devious626, Pedro Peres, Andrei Maraklov, JLouLou, JPSalas, Scampa123, Zany, Ninuzzu, Rothbauerw, Arngrim, Aubrel, Destruk, TAB, Rascal, Bigus1, Fuzzel, JimmyFingers, Toxie, UncleWilly",1.2,2022-12-13,Barb Wire
Batgirl (Original 2022),Original,2022,"Comics, Licensed Theme, Superheroes",-,-,-,SS,VPX,"Kapterb, Cryptdoctor21, Hawkeyez88, Springjack, 32assassin",1.0.0,2022-03-07,Batgirl
Batman (Data East 1991),Data East,1991,"Comics, Licensed Theme, Superheroes, Movie",4,195,-,SS,VPX,"Bigus1, Javier1515",2.0,2022-12-03,Batman
Batman 66 (Stern 2016),Stern,2016,"Comics, Licensed Theme, Superheroes",-,-,-,SS,VPX,"Daphishbowl, Mr H, MPT3k, Harlan, Dimi, Flipstream, Rik, TerryRed, Waxx, Joey, DJRobX, G5k, Pinballfan2018, VPW Team, Benji, AstroNasty, Iaakki, Sixtoe, EBisLit, Apophis, Bord, Nailbuster",1.1.0,2023-08-27,Batman 66
Batman Forever (Sega 1995),Sega,1995,"Comics, Licensed Theme, Superheroes",6,3593,-,SS,VPX,"Drakkon, Bigus1, DevaL, Mfuegemann",1.3,2023-08-23,Batman Forever
Batman Returns (Original 2018),Original,2018,"Comics, Licensed Theme, Superheroes",-,-,-,SS,VPX,"Ivantba, Lodger",1.0,2018-12-27,Batman Returns
