Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
4 Square (Gottlieb 1971),Gottlieb,1971,"Dancing, Happiness, Music, Psychedelic",1,940,-,EM,FP,Margoni,2.0,2023-09-10,4 Square
ABBA (Original 2020),Original,2020,Music,-,-,-,SS,VPX,"Grayghost27053, Stefanaustria (STAT), Slydog43, JPSalas",2.0,2020-05-18,ABBA
AC_DC (Original 2012),Original,2012,"Licensed Theme, Music",-,-,-,SS,VPX,"Goldchicco, JPSalas, Grizz, Destruk, Doogie, Arngrim",1.0,2023-07-06,AC_DC
AC_DC Back in Black - Limited Edition (Stern 2012),Stern,2012,"Licensed Theme, Music",-,5777,-,SS,VPX,"Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.5,2023-06-17,AC_DC Back in Black - Limited Edition
AC_DC LUCI - Vault Edition (Stern 2018),Stern,2018,"Licensed Theme, Music",-,6502,-,SS,VPX,"Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.5,2023-06-17,AC_DC LUCI - Vault Edition
AC_DC LUCI Premium (Stern 2013),Stern,2013,"Licensed Theme, Music",4,6060,-,SS,VPX,"VPin Workshop (VPW), Fluffhead35, nFozzy, Tomate, Retro27, Schlabber34, Bietekwiet, PinstratsDan, BountyBob, DJRobX, Dark, Tom Tower, Knorr, Rysr, Peter J, Javier, Sixtoe, Apophis, Ninuzzu, HauntFreaks",1.1,2023-01-30,AC_DC LUCI Premium
AC_DC Let There Be Rock - Limited Edition (Stern 2012),Stern,2012,"Licensed Theme, Music",-,5776,-,SS,VPX,"Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.5,2023-06-17,AC_DC Let There Be Rock - Limited Edition
AC_DC PWR Up Edition (Original 2022),Original,2022,"Licensed Theme, Music",-,-,-,SS,VPX,"Djules, Britman, Movieguru, Mark G, Freezy, Ninuzzu",1.0.0,2023-08-08,AC_DC PWR Up Edition
AC_DC Premium (Stern 2012),Stern,2012,"Licensed Theme, Music",-,5775,-,SS,VPX,"Drhotwing, Ninuzzu",1.0,2023-06-17,AC_DC Premium
AC_DC Pro (Stern 2012),Stern,2012,"Licensed Theme, Music",-,5767,-,SS,VPX,"Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.0,2023-06-17,AC_DC Pro
AC_DC Pro - Vault Edition (Stern 2017),Stern,2017,"Licensed Theme, Music",-,6439,-,SS,VPX,"Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.0,2023-06-17,AC_DC Pro - Vault Edition
Accept (Original 2019),Original,2019,"Music, Heavy Metal",-,-,-,SS,VPX,"Batch, Thalamus, Kalavera, Xenonph, Flupper, Kiwi, RetroBash, Zanny, JPSalas",1.2,2021-12-18,Accept
Aerosmith (Original 2019),Original,2019,Music,-,-,-,SS,VPX,"Franck Hollinger (Mussinger), DarthMarino, Wed21, Siggi",1.1,2023-04-10,Aerosmith
Al's Garage Band Goes On a World Tour (Alvin G. and Co 1992),Alvin G. and Co,1992,"Music, Singing",4,3513,-,SS,VPX,"Antisect, 32assassin, JPSalas, Goldchicco, nFozzy, oooPlayer1ooo",2.0,2021-12-07,Al's Garage Band Goes On a World Tour
Alice In Chains Pinball (Original 2021),Original,2021,Music,-,-,-,SS,VPX,"Darthwhat, Destruk, Hawkeyez88, Goldchicco",1.0.0,2021-09-10,Alice In Chains Pinball
Alive (Brunswick 1978),Brunswick,1978,Music,4,50,-,SS,VPX,"HSM, Roccodimarco",1.0,2020-01-10,Alive
Amigo (Bally 1974),Bally,1974,"Dancing, Happiness, Music, Singing, World Culture",4,71,-,EM,VPX,"Teisen, Loserman76",1.0,2023-07-22,Amigo
Avenged Sevenfold (Original 2022),Original,2022,"Music, Heavy Metal",-,-,-,EM,VPX,"Fabouh, Ivantba, Lodger",1.0.4,2023-05-17,Avenged Sevenfold
Bad  (Original 2022),Original,2022,Music,-,-,-,SS,VPX,"Ryguy417, Bodydump, 32assassin",1.1.1,2023-04-10,Bad
Bally Hoo (Bally 1969),Bally,1969,"Circus, Carnival, Music",4,151,-,EM,FP,Margoni,1.0,2023-09-13,Bally Hoo
Barry Manilow (Original 2023),Original,2023,Music,1,-,-,EM,-,"Masonou, JPSalas",1.0.0,2023-11-25,Barry Manilow
Beat Box (Digital Illusions 1992),Digital Illusions,1992,Music,-,-,-,-,FP,"Slash2084, Sebek74",1.04c,2023-07-24,Beat Box
Beat Time (Williams 1967),Williams,1967,"Happiness, Music",2,213,-,EM,VPX,"Mustang1961, Loserman76",1.0b,2022-10-16,Beat Time
Big Star (Williams 1972),Williams,1972,Music,1,279,-,EM,VPX,"JPSalas, Albert, Halen, Stefanaustria (STAT)",4.3.0,2023-11-23,Big Star
Black Sabbath 70s (Original 2012),Original,2012,"Music, Heavy Metal",-,-,-,SS,VPX,"Goldchicco, Grizz, Destruk, Doogie, Arngrim, JPSalas",1.0,2020-10-27,Black Sabbath 70s
Blue Note (Gottlieb 1978),Gottlieb,1978,"Music, Singing",1,328,-,EM,VPX,"Rajo Joey, Loserman76, GNance",1.0.1,2023-01-15,Blue Note
Blues Brothers 40th Anniversary (Original 2020),Original,2020,Music,4,-,-,SS,VPX,"Marty02, JPSalas",2.0,2020-09-18,Blues Brothers 40th Anniversary
Britney Spears (Original 2021),Original,2021,Music,-,-,-,SS,VPX,"Phenom, Buffalo Pin Bro, Dvs626, Hawkeyez88, NJ, Pinball Picasso, PEandS1ws, Chucky87, JPSalas, Goldchicco, TCDeez",1.1.0,2021-11-28,Britney Spears
Cabaret (Williams 1968),Williams,1968,"Dancing, Happiness, Music, Nightlife, Singing",4,415,-,EM,VPX,"Drybonz, Loserman76, -=Kees=-",1.1,2016-10-10,Cabaret
Cactus Jack's (Gottlieb 1991),Gottlieb,1991,"Music, Singing, Dancing, Comedy, Country and Western",4,416,-,SS,VPX,"UnclePaulie, BorgDog, Bodydump, Wildman, Rik, PinstratsDan, Wylte, Sixtoe, Apophis, Rothbauerw",2.0.2,2022-03-07,Cactus Jack's
Carcariass Pinball Chaos (Original 2021),Original,2021,"Music, Heavy Metal",-,-,-,SS,VPX,Loliv45,1.1,2021-03-27,Carcariass Pinball Chaos
Card Trix (Gottlieb 1970),Gottlieb,1970,"College Life, Happiness, Music, Cards",1,446,-,EM,VPX,"Loserman76, GNance, Pinuck, BorgDog, Arngrim, HauntFreaks, JPSalas",1.0.0f,2022-03-21,Card Trix
Carrie Underwood (Original 2021),Original,2021,"Music, Country and Western",4,-,-,SS,VPX,"Phenom, Hawkeyez88, BuffaloPinPro, Goldchicco",1.0,2023-06-05,Carrie Underwood
Chris Cornell Tribute (Original 2020),Original,2020,Music,-,-,-,SS,VPX,"Darthwhat, Aaron James, Destruk, Goldchicco",1.1.0,2023-06-18,Chris Cornell Tribute
Chuck Berry (Original 2020),Original,2020,Music,4,-,-,SS,VPX,"John22, JPSalas",1.1,2020-12-04,Chuck Berry
Clutch (Original 2021),Original,2021,"Music, Heavy Metal",-,-,-,-,VPX,"MellerMeller, Mofstedahl, Miles Travertine",1,2023-08-06,Clutch
Coldplay Pinball (Original 2020),Original,2020,Music,-,-,-,SS,VPX,"Darthwhat, Hawkeyez88, Destruk, Goldchicco",1.1.0,2021-04-12,Coldplay Pinball
Crescendo (Gottlieb 1970),Gottlieb,1970,"Music, Singing, Dancing, Psychedelic",2,590,-,EM,VPX,"Teisen, Loserman76, GNance, Noah Fentz, JPSalas, HauntFreaks, Borgdog, Arngrim",1.0.0,2023-09-21,Crescendo
Daft Punk (Original 2020),Original,2020,Music,4,-,-,SS,VPX,Donuts10,1.1,2020-05-04,Daft Punk
Dark Princess (Original 2020),Original,2020,Music,-,-,-,SS,VPX,"Froggy Crew, Franck Hollinger (Mussinger), Emperor312",1.3.1,2023-06-25,Dark Princess
Def Leppard (Original 2012),Original,2012,Music,-,-,-,SS,VPX,"Goldchicco, Aaron James, Destruk, Doogie, JPSalas",1.3,2020-08-25,Def Leppard
Dimmu Borgir (Original 2019),Original,2019,"Music, Heavy Metal",4,-,-,SS,VPX,"Zedixair, Franck Hollinger (Mussinger)",1.0,2019-10-04,Dimmu Borgir
Disco (Stern 1977),Stern,1977,"Music, Singing, Dancing",-,685,-,EM,FP,Martin Brunker,1.0,2023-09-17,Disco
Disco Dancing (LTD do Brasil 1979),LTD do Brasil,1979,"Dancing, Happiness, Music, Nightlife",-,5892,-,SS,VPX,"JPSalas, Halen, Carlos Guizzo, Mfuegemann",1.0.1,2023-02-06,Disco Dancing
Dixieland (Bally 1968),Bally,1968,"American Places, Happiness, Music",1,692,-,EM,VPX,LuvThatApex,1.01,2020-12-09,Dixieland
Dolly Parton (Bally 1979),Bally,1979,"Celebrities, Licensed, Music, Singing",4,698,-,SS,VPX,"10mmSocket, JPSalas",1.0,2022-11-28,Dolly Parton
Doodle Bug (Williams 1971),Williams,1971,"Dancing, Happiness, Music",1,703,-,EM,VPX,"Loserman76, Tom, Thalamus, Rosve, Osprey101, Wildman",1.0.0f,2021-12-15,Doodle Bug
Eddy (Original 2019),Original,2019,Music,-,-,-,SS,VPX,"Fastdraw (Granit), Fastdraw (Granit)",1.1,2019-11-05,Eddy
Electric Mayhem (Original 2016),Original,2016,"Music, TV Show",-,-,-,SS,VPX,Lodger,1.0,2016-10-07,Electric Mayhem
Elvis (Stern 2004),Stern,2004,"Licensed Theme, Music",4,4983,-,SS,VPX,"JPSalas, Steve Paradis (Polygame), Chokeee, Mitty723, Batch, Coten",4.3.2,2023-12-15,Elvis
Eminem (Original 2019),Original,2019,Music,-,-,-,EM,VPX,Dunriwikan45,1.0.0,2023-03-03,Eminem
Estopa (Original 2022),Original,2022,Music,-,-,-,SS,VPX,"Miguel Roche, Fireslayer26, Cyberpez",1.0.0,2022-01-16,Estopa
Evanescence (Original 2021),Original,2021,Music,4,-,-,SS,VPX,"Phenom, Buffalo Pin Bro, Hawkeyez88, Pinball Picasso, Dvs626, JPSalas",1.0,2023-06-05,Evanescence
Extremoduro Pinball (Original 2021),Original,2021,Music,-,-,-,SS,VPX,"Defcon Norris, Marty02, Ivantba, Delta23, Cuclis Soriano, Ramone, JPSalas",1.03,2022-04-11,Extremoduro Pinball
Faith - George Michael (Original 2023),Original,2023,Music,-,-,-,SS,VPX,VLive,1.02,2023-03-31,Faith - George Michael
Five Finger Death Punch (Original 2023),Original,2023,"Music, Heavy Metal",-,-,-,SS,VPX,"doivelspack, HiRez00, JPSalas",1.0.4,2023-02-18,Five Finger Death Punch
Flip a Card (Gottlieb 1970),Gottlieb,1970,"College Life, Happiness, Music, Cards",1,890,-,EM,VPX,"Teisen, Loserman76, HauntFreaks, Grizz, JPSalas, EalaDubhSidhe, Black, Itchigo, CONRAM, Akiles50000, Inkochnito, Pinuck, Herweh, JimmyFingers, GNance",1.0,2023-09-16,Flip a Card
Foo Fighters (Original 2021),Original,2021,Music,-,-,-,SS,VPX,"Ryguy417, Darthwhat, Hawkeyez88, Destruk, BurtMacklin, Deathinc, Goldchicco",2.0,2023-08-26,Foo Fighters
Fun-Fest (Williams 1973),Williams,1973,"Music, Dancing, People, Singing",4,972,-,EM,VPX,PinPlayer,1.2,2019-06-06,Fun-Fest
Ghost (Original 2023),Original,2023,"Music, Rock",-,-,-,SS,VPX,"Jonpfeiler, TastyWasps, IDigStuff",1.25,2023-12-23,Ghost
Grateful Dead (Original 2013),Original,2013,Music,-,-,-,SS,VPX,"Goldchicco, Grizz, Destruk, Doogie, Movieguru, Arngrim, JPSalas",1.1-beta,2023-06-25,Grateful Dead
Grease (Original 2020),Original,2020,Musical,4,-,-,SS,VPX,"Judremy, JPSalas, NailBuster, Joe Picasso, Marty02, Boroka, Justthebest",1.1,2023-11-02,Grease
Guns N' Roses (Data East 1994),Data East,1994,"Celebrities, Licensed, Music",4,1100,-,SS,VPX,VPin Workshop (VPW),1.1,2023-10-08,Guns N' Roses
Guns N' Roses - Limited Edition (Original 2021),Original,2021,Music,-,-,-,SS,VPX,"Marty02, Bigus1, Team PP, JPSalas",2.0,2022-04-05,Guns N' Roses - Limited Edition
Gunship (Original 2023),Original,2023,Music,-,-,-,SS,VPX,"Jagandy82, JPSalas, Joe Picasso, BurtMacklin",1.0.0,2023-09-08,Gunship
Hank Williams Pinball (Original 2022),Original,2022,Music,-,-,-,EM,VPX,"Capnclaw, Loserman76, HiRez00",1.0,2023-09-21,Hank Williams Pinball
Heavy Metal Meltdown (Bally 1987),Bally,1987,"Music, Heavy Metal",4,1150,-,SS,VPX,"Morttis, Arconovum, 32assassin, Francisco666, Javier1515",1.0-1.0,2023-06-19,Heavy Metal Meltdown
Hootenanny (Bally 1963),Bally,1963,"Music, Singing, Dancing",1,1236,-,EM,VPX,"Alois, Wildman",1.0,2021-01-27,Hootenanny
Indochine (Original 2020),Original,2020,Music,-,-,-,SS,VPX,"JPSalas, Marty02",2.0,2020-08-19,Indochine
Indochine Central Tour (Original 2023),Original,2023,Music,-,-,-,SS,VPX,"Marty02, JPSalas",4.0,2023-03-07,Indochine Central Tour
