Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
250 cc (Inder 1992),Inder,1992,"Sports, Motorcycle Racing",4,4089,-,SS,VPX,"Ext2k, JPSalas, TastyWasps",1.0.0,2023-11-29,250 cc
300 (Gottlieb 1975),Gottlieb,1975,"Sports, Bowling",4,2539,-,EM,VPX,"Scampa123, Loserman76, Rawd, Pritch33, Leojreimroc, Apophis, HauntFreaks",1.1,2021-09-17,300
301 Bullseye (Grand Products  1986),Grand Products ,1986,"Sports, Darts",-,-,-,SS,VPX,JPSalas,1.0.0,2022-12-29,301 Bullseye
8 Ball (Williams 1952),Williams,1952,"Sports, Billiards",-,-,-,EM,FP,Popotte,1.01,2023-11-27,8 Ball
Ali (Stern 1980),Stern,1980,"Sports, Boxing, Licensed Theme",4,43,-,SS,FP,"NitroNimbus, Cypher80b, DStruct",2.0,2023-09-11,Ali
All-Star Basketball (Gottlieb 1952),Gottlieb,1952,"Sports, Basketball",1,54,-,EM,FP,"Martin Brunker, Brent Carter",1.0,2023-07-22,All-Star Basketball
Alle Neune (NSM 1969),NSM,1969,"Sports, Bowling, Flipperless",1,6037,-,EM,VPX,"Stefanaustria (STAT), Hmueck, Bord",1.1,2022-05-23,Alle Neune
Aspen (Brunswick 1979),Brunswick,1979,"Sports, Skiing",4,3660,-,SS,VPX,"Updon719, JPSalas",1.0.0,2023-02-20,Aspen
Atleta (Inder 1991),Inder,1991,"Sports, Olympic Games",4,4095,-,SS,VPX,"Goldchicco, 32assassin, Pachecas",1.0,2020-12-28,Atleta
Auto Race (Gottlieb 1956),Gottlieb,1956,"Sports, Auto Racing",-,112,-,EM,FP,Popotte,1.0,2023-10-01,Auto Race
BMX (Bally 1982),Bally,1982,"Sports, Bicycling",-,335,-,SS,VPX,"MauiPunter, Halen, Pin-Pete, Mike Da Spike, JPSalas",1.0,2023-03-24,BMX
Banzai Run (Williams 1988),Williams,1988,"Sports, Motorcycles, Motocross",4,175,-,SS,VPX,"JPSalas, EBisLit, Aubrel, JLouLoulou",4.3.0,2023-11-02,Banzai Run
Baseball (Gottlieb 1970),Gottlieb,1970,"Sports, Baseball",1,185,-,EM,VPX,"Teisen, Loserman76, GNance",1.0.0,2023-12-29,Baseball
Basketball (ISDA 1986),ISDA,1986,"Sports, Basketball",4,5023,-,SS,VPX,"Goldchicco, Mfuegemann, Vogliadicane, Arngrim, 32assassin, JPSalas, Movieguru",1.1a,2020-12-16,Basketball
Batter Up (Gottlieb 1970),Gottlieb,1970,"Sports, Baseball",1,197,-,EM,VPX,"Loserman76, GNance",1.0.0f,2022-01-25,Batter Up
Beat the Clock (Williams 1963),Williams,1963,"Sports, Auto Racing, Cars",1,210,-,EM,FP,Leon Spalding,1.0,2023-09-13,Beat the Clock
Beisbol (Maresa 1971),Maresa,1971,"Sports, Baseball",1,5320,-,EM,VPX,"CactusDude, Loserman76, GNance, Foxyt",0.04,2023-11-02,Beisbol
Bell Ringer (Gottlieb 1990),Gottlieb,1990,"Sports, Motorcycles, Motocross",4,3602,-,SS,VPX,"Rascal, Destruk",1.1.0,2022-04-13,Bell Ringer
Big Game (Rock-ola 1935),Rock-ola,1935,"Sports, Hunting",1,248,-,PM,VPX,CactusDude (Warbler 33),0.23,2023-09-21,Big Game
Blackwater 100 (Bally 1988),Bally,1988,"Sports, Motorcycles, Motocross",4,319,-,SS,VPX,"Goldchicco, Sindbad, Elvinu, 32assassin",1.1,2020-08-04,Blackwater 100
Bobby Orr Power Play (Bally 1978),Bally,1978,"Sports, Hockey, Celebrities",4,1858,-,SS,VPX,Bord,2.1,2022-04-08,Bobby Orr Power Play
Bowling Champ (Gottlieb 1949),Gottlieb,1949,"Sports, Bowling",1,348,-,EM,FP,"Okobojimusky, Francisco Pozo",1.2,2023-09-08,Bowling Champ
Bowling League (Gottlieb 1947),Gottlieb,1947,"Sports, Bowling",1,366,-,EM,FP,Francisco Pozo,1.0,2023-08-08,Bowling League
Breakshot (Capcom 1996),Capcom,1996,"Sports, Billiards",4,3784,-,SS,VPX,"Bigus1, Krobar74",3.1,2023-01-26,Breakshot
Bristol Hills (Gottlieb 1971),Gottlieb,1971,"Sports, Skiing, Snowmobiling",2,376,-,EM,VPX,"Teisen, Loserman76, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim, Opus33321",1.0.0,2023-11-10,Bristol Hills
Caddie (Playmatic 1975),Playmatic,1975,"Sports, Golf",1,4486,-,EM,VPX,"Loserman76, Akiles50000, JPSalas",1.0.0f,2022-03-21,Caddie
Canasta 86 (Inder 1986),Inder,1986,"Sports, Basketball",4,4097,-,SS,VPX,"Ext2k, JPSalas, TastyWasps, Gwillion, Wildman",1.0.0,2023-11-25,Canasta 86
