Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
1-2-3 (Talleres del Llobregat (Automaticos) 1973),Talleres del Llobregat (Automaticos),1973,"TV Show, Game Show",1,5247,-,EM,VPX,JPSalas,4.0.0,2022-09-01,1-2-3
24 (Stern 2009),Stern,2009,"Licensed Theme, TV Show, Crime",4,5419,-,SS,VPX,"DGrimmReaper, Bigus1, 32assassin, Freneticamnesic",1.0,2023-06-11,24
Aaron Spelling (Data East 1992),Data East,1992,"TV Show, Celebrities",4,4339,-,SS,VPX,Balater,1.02,2021-03-12,Aaron Spelling
Airwolf (Original 2020),Original,2020,"TV Show, Aviation",-,-,-,SS,VPX,"Chucky87, Ivantba, JPJ, JLouLou, JPSalas",1.1,2020-04-03,Airwolf
American Dad! Pinball (Zen Studios 2015),Zen Studios,2015,"Licensed Theme, TV Show",4,-,-,-,FX3,Zen Studios,-,2000-01-01,American Dad! Pinball
Animal (Original 2017),Original,2017,TV Show,4,-,-,SS,VPX,Hursty,1.0,2018-09-04,Animal
Archer Pinball (Zen Studios 2015),Zen Studios,2015,"Licensed Theme, TV Show",4,-,-,-,FX3,Zen Studios,-,2000-01-01,Archer Pinball
Attack On Titan (Original 2022),Original,2022,TV Show,-,-,-,SS,VPX,"cHuGaLaeFoo, Enomao, Pedro Peres, Arngrim, JPSalas",1.4,2022-11-06,Attack On Titan
Bart vs. the Space Mutants (Original 2017),Original,2017,"Animation, Kids, TV Show",-,-,-,SS,VPX,TheGhost787,1.1,2017-01-01,Bart vs. the Space Mutants
Battle of the Planets (Original 2018),Original,2018,"Science Fiction, TV Show",-,-,-,SS,FP,"AnonTet, LuvtheCubs, Brendan Bailey (Pinwizkid), SLAMT1LT",1.0,2023-08-27,Battle of the Planets
Battlestar Galactica (Original 2018),Original,2018,"Science Fiction, TV Show",4,2067,-,SS,VPX,"Xenonph, John90803, Wolis, Drybonz, Thalamus, Flupper, DJRobX, Stefanaustria (STAT), nFozzy, Slydog43, GTXJoe, Allknowing2012, HauntFreaks, JPSalas",2.1,2022-12-22,Battlestar Galactica
Baywatch (Sega 1995),Sega,1995,"Celebrities, Fictional, Licensed Theme, TV Show",6,2848,-,SS,VPX,"Bigus1, Kiwi",1.0,2023-07-29,Baywatch
Beavis And Butthead Pinball Stupidity (Original 2023),Original,2023,"TV Show, Movie",-,-,-,SS,VPX,Chug,1.2,2023-02-19,Beavis And Butthead Pinball Stupidity
Blaze And The Monster Machines (Original 2021),Original,2021,"TV Show, Kids",4,-,-,SS,VPX,"Buffalo Pin Bro, Hawkeyez88, RetroG33k, Goldchicco",1.2,2022-05-13,Blaze And The Monster Machines
Bonanza Edition (Original 2022),Original,2022,"American West, TV Show",-,-,-,SS,VPX,"Icepinball, Xenonph, CryptDoctor21, 32assassin",1.0.0,2022-06-13,Bonanza Edition
Breaking Bad (Original 2021),Original,2021,"TV Show, Crime",4,-,-,SS,VPX,"VP_Cooks, Humankind14, Laurynsach, JPSalas",1.0.1,2022-10-14,Breaking Bad
Buck Rogers (Gottlieb 1980),Gottlieb,1980,"Fantasy, Outer Space, TV Show",4,392,-,SS,VPX,"Xenonph, BorgDog, HauntFreaks, Sindbad",2.1,2023-02-02,Buck Rogers
Buffy The Vampire Slayer (Original 2022),Original,2022,"TV Show, Supernatural",-,-,-,SS,VPX,"VP_Cooks, JPSalas",1.0.1,2022-10-20,Buffy The Vampire Slayer
CSI (Stern 2008),Stern,2008,"Licensed Theme, Detective, Crime, TV Show",4,5348,-,SS,FP,"NitroNimbus, Francisco666, rom, Skinooe",2.0,2023-09-17,CSI
