Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
Animal Crossing Pinball (Original 2021),Original,2021,"Video Game, Kids",-,-,-,SS,VPX,"SG1bsoN, HiRez00",1.1,2021-12-08,Animal Crossing Pinball
Asteroids (Original 2016),Original,2016,Video Game,-,-,-,SS,VPX,TheGhost787,1.0,2016-12-03,Asteroids
Atari 2600 Edition (Original 2022),Original,2022,"Video Game, Game Console",-,-,-,SS,VPX,"Icepinball, Fiftysounds, JPSalas",1.01,2022-06-06,Atari 2600 Edition
Atari Centipede Pinball (Original 2020),Original,2020,Video Game,-,-,-,SS,VPX,Mitchell,0.7,2020-12-07,Atari Centipede Pinball
Baby Pac-Man (Bally 1982),Bally,1982,Video Game,2,125,-,SS,VPX,"Psiomicron, 32assassin, UncleWilly",1.0.5,2023-05-07,Baby Pac-Man
Berzerk The Pinball Game (Original 2016),Original,2016,Video Game,-,-,-,SS,VPX,Lodger,2.0,2016-02-27,Berzerk The Pinball Game
Billion Dollar Gameshow (Digital Illusions 1992),Digital Illusions,1992,"Game Show, Video Game",-,-,-,-,FP,"Slash2084, Jerry Winter, Sebek74",2.00,2023-08-05,Billion Dollar Gameshow
Black Tiger Pinball (Original 2022),Original,2022,Video Game,-,-,-,SS,VPX,"Xenonph, 32assassin",2.1,2023-02-09,Black Tiger Pinball
Borderlands - Vault Hunter Pinball (Zen Studios 2023),Zen Studios,2023,"Licensed Theme, Video Game",-,-,-,-,FX,Zen Studios,-,2023-07-19,Borderlands - Vault Hunter Pinball
Brothers in Arms - Win the War Pinball (Zen Studios 2023),Zen Studios,2023,"Licensed Theme, Video Game, Combat",-,-,-,-,FX,Zen Studios,-,2023-07-19,Brothers in Arms - Win the War Pinball
Bubble Bobble (Original 2006),Original,2006,Video Game,-,-,-,-,FP,"GeorgeH, Ruckage",1.0,2023-10-04,Bubble Bobble
Cannon Fodder (Original 2018),Original,2018,Video Game,-,-,-,SS,VPX,"Ivantba, Xenonph, BorgDog, JPSalas",1.1,2018-11-06,Cannon Fodder
Chrono Trigger (Original 2022),Original,2022,Video Game,-,-,-,SS,VPX,"cHuGaLaeFoo, Wylte, Kiltem, Smaugdragon, FriscoPinball, Apophis, JPSalas",1.17,2023-02-14,Chrono Trigger
Cool Spot 7UP Pinball (Original 2019),Original,2019,"Video Game, Kids",4,-,-,SS,VPX,"Ivantba, JPSalas",1.0,2019-07-01,Cool Spot 7UP Pinball
Crypt of the Necrodancer Pinball (Zen Studios 2023),Zen Studios,2023,Video Game,-,-,-,-,FX,Zen Studios,-,2023-07-19,Crypt of the Necrodancer Pinball
Crysis (Original 2018),Original,2018,Video Game,-,-,-,SS,VPX,"Ivantba, Xenonph, Rothbauerw",1.2,2019-02-01,Crysis
Cuphead Pro (Original 2019),Original,2019,"Video Game, Kids",-,-,-,EM,VPX,"MauiPunter, Scottacus, Onevox, Bord, Wylte, Jagandy82",1.2,2023-11-18,Cuphead Pro
